"latitude","longitude","time"
41.221713,-105.317891,2014-07-26 17:35:53+00:00
41.221704,-105.317828,2014-07-26 17:35:54+00:00
41.221694,-105.317766,2014-07-26 17:35:55+00:00
41.221689,-105.317706,2014-07-26 17:35:56+00:00
41.221689,-105.31765,2014-07-26 17:35:57+00:00
41.221697,-105.317595,2014-07-26 17:35:58+00:00
41.221706,-105.317537,2014-07-26 17:35:59+00:00
41.221709,-105.317483,2014-07-26 17:36:00+00:00
41.221712,-105.317415,2014-07-26 17:36:01+00:00
41.221705,-105.31735,2014-07-26 17:36:02+00:00
41.221691,-105.317272,2014-07-26 17:36:03+00:00
41.221678,-105.31719,2014-07-26 17:36:04+00:00
41.221673,-105.317106,2014-07-26 17:36:05+00:00
41.221678,-105.31702,2014-07-26 17:36:06+00:00
41.221689,-105.316934,2014-07-26 17:36:07+00:00
41.221703,-105.316852,2014-07-26 17:36:08+00:00
41.22172,-105.316775,2014-07-26 17:36:09+00:00
41.221734,-105.316702,2014-07-26 17:36:10+00:00
41.221739,-105.316646,2014-07-26 17:36:11+00:00
41.221743,-105.316596,2014-07-26 17:36:12+00:00
41.221778,-105.316529,2014-07-26 17:36:14+00:00
41.2218,-105.316498,2014-07-26 17:36:15+00:00
41.22181,-105.316457,2014-07-26 17:36:16+00:00
41.221814,-105.316414,2014-07-26 17:36:17+00:00
41.221812,-105.31637,2014-07-26 17:36:18+00:00
41.221805,-105.316323,2014-07-26 17:36:19+00:00
41.221797,-105.316274,2014-07-26 17:36:20+00:00
41.221787,-105.316223,2014-07-26 17:36:22+00:00
41.221772,-105.316165,2014-07-26 17:36:23+00:00
41.221717,-105.31604,2014-07-26 17:36:24+00:00
41.221681,-105.315979,2014-07-26 17:36:25+00:00
41.221651,-105.315918,2014-07-26 17:36:26+00:00
41.221634,-105.315856,2014-07-26 17:36:27+00:00
41.221631,-105.315789,2014-07-26 17:36:28+00:00
41.22164,-105.315723,2014-07-26 17:36:29+00:00
41.22165,-105.315659,2014-07-26 17:36:30+00:00
41.221659,-105.315595,2014-07-26 17:36:31+00:00
41.221664,-105.315531,2014-07-26 17:36:32+00:00
41.221667,-105.315466,2014-07-26 17:36:33+00:00
41.221672,-105.315401,2014-07-26 17:36:34+00:00
41.221677,-105.315336,2014-07-26 17:36:35+00:00
41.22168,-105.315272,2014-07-26 17:36:36+00:00
41.221679,-105.31521,2014-07-26 17:36:37+00:00
41.221675,-105.315149,2014-07-26 17:36:38+00:00
41.221672,-105.315091,2014-07-26 17:36:39+00:00
41.221683,-105.315039,2014-07-26 17:36:40+00:00
41.221706,-105.315002,2014-07-26 17:36:41+00:00
